loja,mercado,idioma,moeda,mes,data_envio,campanha,papel,segmento_ampliado,modelo,estrutura,altura_px,desconto_pct,envios,aberturas,cliques,pedidos,receita,descadastros,spam,abertura_pct,clique_pct,clique_em_pedido_pct,receita_por_mil_envios,indice,descadastro_pct
Brinque Mais,Brasil,pt,BRL,ago,07/08,"Esquenta 8.8, 3, é amanhã",vespera,sim,,,,,32664,4318,144,7,1253.47,45,1,13.2,0.44,4.9,38.4,0.71,0.14
Brinque Mais,Brasil,pt,BRL,ago,08/08 07h,"8.8, 1, Enc lista",pico 7h,sim,,,,,32895,4571,21,4,824.56,49,2,13.9,0.06,19.0,25.1,0.46,0.15
Brinque Mais,Brasil,pt,BRL,ago,08/08 11h,"8.8, 2, 100 primeiros",pico 11h,sim,,,,,32887,4375,110,8,1516.56,38,2,13.3,0.33,7.3,46.1,0.85,0.12
Brinque Mais,Brasil,pt,BRL,ago,08/08 18h,"8.8, 3, status mudou",pico 18h,sim,,,,,33013,5440,154,12,2506.57,76,4,16.5,0.47,7.8,75.9,1.4,0.23
Brinque Mais,Brasil,pt,BRL,ago,11/08,Ressaca 8.8,ressaca,sim,,,,,33867,4466,177,8,1790.11,40,4,13.2,0.52,4.5,52.9,0.97,0.12
Brinque Mais,Brasil,pt,BRL,ago,14/08,Sextou,recorrente,sim,,,,,34884,4665,180,5,1042.42,40,4,13.4,0.52,2.8,29.9,0.55,0.11
Brinque Mais,Brasil,pt,BRL,ago,17/08,Segunda turbo,gamificada,sim,,,,,35545,4704,180,10,2054.17,38,6,13.2,0.51,5.6,57.8,1.06,0.11
Brinque Mais,Brasil,pt,BRL,ago,19/08,UGC Dia da Fotografia,prova,sim,,,,,35861,4879,60,10,1908.37,33,5,13.6,0.17,16.7,53.2,0.98,0.09
Brinque Mais,Brasil,pt,BRL,ago,21/08,Catálogo indecisão,catalogo,sim,,,,,36092,4719,193,9,1455.77,41,3,13.1,0.53,4.7,40.3,0.74,0.11
Brinque Mais,Brasil,pt,BRL,ago,24/08,"Semana 15%, On & Off",semana15,sim,,,,,36602,4945,202,13,2570.15,36,2,13.5,0.55,6.4,70.2,1.29,0.1
